0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
208,255,249,67,0,114,130,188,0,0,251,0,0,255,0,159,36,113,255,255,255,236,0,0,42,233,92,255,255,255,207,0,255,0,0,0,255,255,174,0,0,0,114,231,85,250,0,0,0,18,0,79,0,255,255,0,255,255,255,255,255,0,0,0,255,255,0,255,255,0,199,0,130,255,0,85,255,140,0,0,255,255,255,0,255,0,0,0,0,0,112,0,255,255,0,0,0,255,0,0,179,255,255,116,0,255,0,34,255,255,255,0,255,255,0,255,255,212,0,255,255,113,0,255,0,255,0,255
191,255,189,40,0,84,89,217,29,0,221,0,0,242,46,91,0,177,105,255,255,116,0,0,90,255,0,255,255,191,192,0,255,0,10,0,255,255,163,69,0,0,32,140,117,121,0,0,0,1,0,186,0,255,255,0,230,255,209,255,255,0,0,0,255,255,0,255,255,0,134,0,110,255,0,239,255,92,0,0,255,198,255,0,255,0,0,0,0,0,136,0,255,255,0,0,0,255,0,0,226,255,255,27,0,255,0,0,231,216,255,0,255,255,0,255,255,0,0,255,255,0,59,240,14,255,0,255
183,255,182,99,0,107,85,215,81,0,255,0,0,210,72,14,0,139,65,255,255,75,0,0,62,203,0,255,255,41,158,0,255,0,84,0,255,255,185,124,87,0,0,175,199,147,0,0,0,5,0,231,0,216,232,0,127,255,191,255,255,0,0,0,255,255,0,255,255,0,127,0,45,255,0,194,255,182,0,0,255,255,255,0,255,43,0,0,0,0,152,0,255,255,0,0,0,255,49,0,255,255,255,177,0,255,0,0,234,255,255,0,255,255,0,255,255,0,23,255,255,162,66,39,24,255,0,255
198,255,229,82,0,86,106,225,0,0,250,0,0,241,14,54,0,131,150,255,255,106,0,0,38,241,0,255,255,132,213,0,255,0,47,0,255,255,166,133,56,0,88,221,89,159,0,0,0,0,0,127,0,255,248,0,230,255,255,255,255,0,0,0,255,255,0,255,255,0,56,0,90,255,0,182,255,147,0,0,255,255,255,0,255,20,0,0,0,15,136,0,255,255,0,0,0,255,0,0,255,255,255,62,0,255,0,0,180,255,255,0,255,255,0,255,255,73,0,255,255,141,6,0,44,255,0,255
206,255,234,52,0,111,93,228,0,0,255,0,0,244,3,83,0,132,180,255,255,129,0,0,24,235,61,255,255,195,255,14,255,0,10,26,255,255,155,22,0,0,123,178,101,114,0,0,0,48,0,129,0,223,255,0,255,255,255,255,255,0,0,0,255,255,0,255,255,0,51,0,115,255,0,68,255,25,0,0,255,255,255,0,255,0,0,0,0,0,121,0,255,255,0,0,0,255,0,0,255,255,255,0,0,255,0,36,205,255,255,0,255,246,0,255,255,230,0,255,255,0,143,0,39,255,0,255
200,255,225,30,0,82,111,218,0,0,231,0,0,255,0,141,0,71,174,255,255,178,0,0,0,215,96,255,255,255,227,37,255,0,0,0,255,255,209,44,0,0,39,158,206,159,0,0,0,55,0,115,0,255,255,0,255,255,255,255,255,0,0,0,255,255,0,255,255,0,149,0,168,255,0,0,255,0,0,0,255,255,255,0,255,0,0,0,0,0,97,0,255,255,0,0,0,255,0,0,255,255,255,34,0,255,0,0,88,255,255,0,255,255,0,255,255,134,0,255,255,0,25,148,9,255,0,255
195,255,200,26,0,70,113,225,33,0,250,0,0,249,16,147,23,116,141,245,255,171,0,0,8,255,30,255,255,206,223,23,255,0,24,3,255,255,183,67,7,0,65,214,127,99,0,0,0,0,0,129,0,255,255,0,255,255,255,255,255,0,0,0,255,255,0,255,255,0,88,0,92,255,0,233,255,50,0,0,255,229,255,0,255,0,0,0,0,6,150,0,247,255,0,0,0,255,0,0,255,255,255,129,0,255,0,0,255,228,255,0,255,255,0,255,255,79,30,255,255,0,16,185,0,255,0,255
195,255,217,109,0,82,141,212,0,0,230,0,0,214,56,91,0,151,145,245,228,130,0,0,20,255,46,255,236,192,195,0,255,0,81,0,255,255,193,83,30,0,86,243,102,149,0,0,0,0,0,153,0,255,255,0,189,255,255,255,235,0,0,0,255,255,0,255,255,0,93,0,114,255,0,120,255,118,0,0,255,231,255,0,255,0,0,0,0,31,219,0,255,255,0,0,0,255,0,0,189,255,255,98,0,255,0,38,53,255,255,0,255,255,0,255,255,86,16,255,255,0,96,210,0,255,0,255
197,255,207,63,0,133,106,254,16,0,255,0,0,231,91,70,0,187,104,255,255,45,0,0,95,244,0,255,255,50,179,0,255,0,90,5,255,255,156,101,5,0,89,137,108,148,0,0,0,0,0,238,0,184,229,0,198,255,255,255,255,0,0,0,255,255,0,255,255,0,17,0,55,255,0,217,255,179,0,0,255,255,255,0,255,0,0,0,0,0,81,0,255,255,0,0,0,255,0,0,255,255,255,95,0,255,0,0,255,255,255,0,255,255,0,255,255,3,0,255,255,73,0,0,0,255,0,255
194,255,221,55,0,94,80,234,8,0,249,0,0,200,63,52,0,153,89,255,255,76,0,0,106,255,0,255,255,107,157,0,255,0,86,0,255,255,130,63,15,0,10,157,134,179,0,0,0,0,0,229,0,201,255,0,149,255,255,255,255,0,0,0,255,255,0,255,255,0,0,0,40,255,0,147,255,144,0,0,255,247,255,0,255,7,0,0,0,0,116,0,255,255,0,0,0,255,0,0,202,255,255,60,0,255,0,51,255,255,255,0,255,255,0,255,255,13,19,255,255,15,147,5,0,255,0,255
210,255,252,29,0,87,91,233,0,0,236,0,0,250,0,116,0,78,169,255,255,120,0,0,29,210,56,255,255,200,221,49,255,0,33,0,255,255,133,68,27,0,175,142,123,96,0,0,0,0,0,167,0,255,255,0,255,255,255,255,166,0,0,0,255,255,0,255,255,0,50,0,92,255,0,122,255,126,0,0,255,255,255,0,255,0,0,0,0,0,110,0,255,255,0,0,0,255,0,0,255,255,255,0,0,255,0,86,175,255,255,0,255,255,0,255,255,157,0,255,255,100,0,0,0,255,0,255
196,255,213,84,0,72,100,205,36,0,251,0,0,187,24,102,0,139,113,252,255,93,14,0,70,245,0,255,250,105,225,0,255,0,37,21,255,255,119,116,99,0,43,210,126,119,0,0,0,10,0,169,0,198,255,0,205,255,255,255,255,0,0,0,255,255,0,246,255,0,2,0,143,255,0,216,255,143,0,0,255,255,255,0,255,0,0,0,0,0,137,0,255,255,0,0,0,255,0,0,255,255,255,67,0,255,0,32,230,255,255,0,255,255,0,255,255,2,45,255,255,0,30,142,18,255,0,255
198,255,203,81,0,93,101,223,0,0,241,0,0,229,34,56,0,125,153,255,252,110,0,0,31,208,0,255,255,167,183,0,255,0,94,0,255,255,213,106,104,0,105,199,87,183,0,0,0,0,0,178,0,255,251,0,239,255,255,255,255,0,0,0,255,255,0,255,255,0,91,0,57,255,0,142,255,113,11,0,255,225,255,0,255,0,0,0,0,0,159,0,255,255,0,0,0,255,0,0,255,255,255,80,0,255,0,0,158,255,255,0,255,255,0,255,255,159,18,255,255,118,72,102,61,255,0,255
206,255,186,92,0,81,116,219,0,0,242,0,0,235,0,79,8,103,109,234,255,151,0,0,1,255,66,255,237,241,146,38,255,0,14,27,255,255,221,104,100,0,42,186,90,167,0,0,0,59,0,122,0,255,255,40,255,255,228,255,255,0,0,0,255,255,0,255,255,0,43,0,99,255,0,0,255,72,0,0,255,225,255,0,255,0,0,0,0,0,18,0,199,255,0,0,0,255,0,0,255,255,255,61,0,255,0,0,143,248,255,0,255,255,0,255,255,128,0,255,255,143,187,233,0,255,0,255
197,255,159,35,0,93,100,241,0,0,255,0,0,255,0,27,33,142,164,219,255,255,22,0,0,208,164,255,213,255,110,121,255,0,0,14,255,255,255,106,0,0,151,150,147,0,0,0,0,66,0,9,0,255,255,0,255,255,198,255,255,0,0,0,255,255,0,249,255,0,0,0,0,255,0,40,255,71,0,0,255,255,255,0,255,0,0,0,0,0,0,0,142,255,0,0,0,255,0,0,255,255,255,255,0,255,0,0,222,131,255,0,255,255,0,255,255,255,0,255,255,255,203,0,200,255,0,240
187,255,177,16,0,113,74,229,11,0,255,0,0,221,0,43,16,133,172,252,255,176,0,0,47,237,0,255,255,192,208,0,255,0,43,3,255,255,159,70,45,0,82,113,111,96,0,0,0,0,0,102,0,255,255,0,255,255,255,255,255,0,0,0,255,255,0,255,255,0,84,0,47,255,0,191,255,0,0,0,255,148,255,0,255,0,0,0,0,0,167,0,130,255,0,0,0,255,0,0,255,255,255,12,0,255,0,0,255,255,255,0,255,255,0,255,255,67,0,255,255,0,255,86,35,255,0,255
